ticker,Date,Free Cash Flow,Beginning Cash Position,End Cash Position,Total Revenue,Gross Profit,Net Income,Diluted EPS,Research And Development,EBITDA,Tax Provision,Total Debt,Working Capital,Gross Margin,Net Margin,FCF Margin,Debt to Equity,Working Capital Ratio,R&D to Revenue,Revenue growth,Net Income Growth,EPS Growth,FCF Growth
GOOGL,2022-12-31,60010000000.0,20945000000.0,21879000000.0,282836000000.0,156633000000.0,59972000000.0,4.56,39500000000.0,85160000000.0,11356000000.0,29679000000.0,95495000000.0,0.5537944250378312,0.2120380715326196,0.21217242500954617,0.23710195407992074,0.3376338231342545,0.13965690364734334,,,,
GOOGL,2023-12-31,69495000000.0,21879000000.0,24048000000.0,307394000000.0,174062000000.0,73795000000.0,5.8,45427000000.0,97971000000.0,11922000000.0,27121000000.0,89716000000.0,0.566250479840205,0.24006649446638517,0.22607793255561268,0.2321268091443635,0.2918599582295035,0.14778102370247956,0.0868277022726951,0.23049089575135073,0.2719298245614037,0.15805699050158317
GOOGL,2024-12-31,72764000000.0,24048000000.0,23466000000.0,350018000000.0,203712000000.0,100118000000.0,8.04,49326000000.0,135394000000.0,19697000000.0,22574000000.0,74589000000.0,0.5820043540617911,0.28603671811164,0.20788645155392008,0.23233123719934543,0.21310046911873104,0.14092418104211785,0.1386624332290156,0.3567043837658377,0.386206896551724,0.04703935534930581
GOOGL,2025-12-31,73266000000.0,23466000000.0,30708000000.0,402836000000.0,240301000000.0,132170000000.0,10.81,61087000000.0,180698000000.0,26656000000.0,59291000000.0,103293000000.0,0.5965231508603998,0.3280987796522654,0.18187550268595656,0.3646791812232446,0.2564145210457854,0.15164235569810047,0.1509008108154437,0.3201422321660441,0.3445273631840797,0.006899015996921554
META,2022-12-31,19289000000.0,16865000000.0,15596000000.0,116609000000.0,91360000000.0,23200000000.0,8.59,35338000000.0,37690000000.0,5619000000.0,26591000000.0,32523000000.0,0.7834729737841848,0.19895548371051977,0.16541604850397482,0.44982576039516864,0.2789064308929842,0.3030469346276874,,,,
META,2023-12-31,44068000000.0,15596000000.0,42827000000.0,134902000000.0,108943000000.0,39098000000.0,14.87,38483000000.0,59052000000.0,8330000000.0,37234000000.0,53405000000.0,0.8075714222176098,0.28982520644616094,0.3266667655038472,0.41079447037147365,0.3958799721279151,0.2852663414923426,0.15687468377226454,0.6852586206896552,0.7310826542491269,1.2846181761625797
META,2024-12-31,54072000000.0,42827000000.0,45438000000.0,164501000000.0,134340000000.0,62360000000.0,23.86,43873000000.0,86876000000.0,8303000000.0,49060000000.0,66449000000.0,0.8166515705071702,0.3790858414234564,0.3287031689776962,0.42472880901055327,0.40394283317426644,0.2667035458751011,0.21941112807816054,0.5949664944498441,0.6045729657027572,0.22701279840246902
META,2025-12-31,46109000000.0,45438000000.0,39100000000.0,200966000000.0,164791000000.0,60458000000.0,,57372000000.0,105713000000.0,25474000000.0,83897000000.0,66886000000.0,0.8199944269179861,0.3008369574952977,0.2294368201586338,0.5564088789850314,0.3328224674820616,0.2854811261606441,0.22167038498246217,-0.030500320718409246,,-0.1472666074863146
MSFT,2022-06-30,65149000000.0,14224000000.0,13931000000.0,198270000000.0,135620000000.0,72738000000.0,9.65,24512000000.0,100239000000.0,10978000000.0,61270000000.0,74602000000.0,0.684016744842891,0.3668633681343622,0.3285872799717557,0.45093911917098445,0.37626468956473497,0.12362939426035205,,,,
MSFT,2023-06-30,59475000000.0,13931000000.0,34704000000.0,211915000000.0,146052000000.0,72361000000.0,9.68,27195000000.0,105140000000.0,16950000000.0,59965000000.0,80108000000.0,0.6892008588349102,0.3414623787839464,0.2806549795908737,0.4280982059354765,0.3780194889460397,0.12832975485454073,0.06882029555656421,-0.005182985509637361,0.0031088082901553626,-0.08709266450751352
